"entering_grade_level","district","birth_month","olsat_verbal_score","olsat_verbal_percentile","nnat_non_verbal_raw_score","nnat_non_verbal_percentile","overall_score","school_assigned","date","first_choice","remaining_choices","testprep","enrollment"
"kindergarten",2,"May",25,99,36,98,99,"PS 158",2017-04-24,"Anderson","NEST, PS 77, TAG",NA,"Yes"
"kindergarten",3,"March",26,99,45,99,99,NA,2017-04-25,"Anderson","none",NA,"Yes"
"first",2,"January",26,97,39,99,0,NA,2017-04-25,"none","none",NA,"No"
"kindergarten",2,"March",28,99,43,99,99,NA,2017-04-25,"Anderson","NEST, TAG, PS77, PS33, PS11",NA,"Yes"
"first",26,"April",23,81,45,99,95,"none",2017-04-25,"p.s.203q","none",NA,"Yes"
"first",28,"May",29,99,48,99,99,NA,2017-04-25,"Q300","none",NA,"Yes"
"second",30,"July",29,99,40,99,99,NA,2017-04-25,"NEST","Anderson, 30th Av",NA,"Unsure"
"kindergarten",2,"January",24,96,40,99,98,NA,2017-04-25,"none","none",NA,""
"kindergarten",2,"September",NA,99,NA,99,99,NA,1899-12-30,"none","none",NA,""
"kindergarten",2,"January",25,98,41,99,99,NA,2017-04-26,"Anderson","NEST+m,LL,PS11",NA,""
"kindergarten",31,"January",19,81,38,99,95,NA,2017-04-26,"PS50","PS229,PS205,PS53",NA,"Yes"
"first",2,"May",29,99,44,99,99,NA,2017-04-26,"Anderson","Nest, Tag, LL",NA,"Unsure"
"third",30,"October",NA,90,NA,90,90,NA,2017-04-26,"none","none",NA,""
"kindergarten",2,"November",20,90,39,99,96,NA,2017-04-27,"PS11","none",NA,"Unsure"
"kindergarten",2,"March",21,90,39,99,96,NA,2017-04-28,"LL","198, 11, 130, 217, 124, 33",NA,""
"second",2,"November",28,99,47,99,99,NA,2017-04-28,"Anderson","nestM, lower lab",NA,""
"third",3,"March",30,99,39,99,99,NA,2017-04-29,"none","none",NA,""
"kindergarten",20,"December",23,98,37,99,99,NA,2017-05-03,"nest+m"," BSI, Anderson, Q300",NA,""
"kindergarten",20,"December",23,98,37,99,99,NA,2017-05-03,"nest","bsi, anderson",NA,""
"first",17,"February",21,69,42,99,92,NA,2017-05-03,"316","38,",NA,"Unsure"
"kindergarten",20,"January",NA,96,39,99,98,NA,2017-05-04,"BSI","none",NA,"Yes"
"kindergarten",28,"May",NA,94,40,98,96,NA,2017-05-05,"144","174",NA,""
"kindergarten",28,"March",22,94,40,98,96,NA,2017-05-05,"none","none",NA,""
"first",1,"October",28,99,41,99,99,NA,2017-05-07,"Nest","none",NA,"Yes"
"kindergarten",25,"August",NA,70,NA,99,93,NA,2017-05-08,"none","none",NA,""
"second",2,"May",28,98,37,95,97,NA,2017-05-09,"Anderson (Sibling)","none",NA,"Yes"
"kindergarten",2,"July",19,87,41,99,96,NA,2017-05-10,"11","198,33",NA,"Yes"
"first",21,"November",29,99,44,99,99,NA,2017-05-15,"Bsi","none",NA,""
"kindergarten",28,"December",26,99,46,99,99,NA,2017-05-16,"NEST","Anderson, Q300",NA,""
"kindergarten",30,"February",23,95,40,99,98,NA,2017-05-24,"300","217, 122, 166",NA,"Yes"
"kindergarten",26,"February",25,98,41,99,99,NA,2017-05-24,"Nest","Q300, PS188, PS203",NA,""
"kindergarten",22,"October",NA,99,43,99,99,NA,2017-05-29,"Brooklyn school of inquiry","none",NA,"Yes"
"kindergarten",20,"February",30,99,42,99,99,NA,2017-05-31,"Bsi","none",NA,""
"kindergarten",2,"June",24,97,NA,99,98,"PS130",2017-06-01,"Anderson","NEST, PS130, PS124, Lower Lab, PS11, PS33, TAG, BSI",NA,"Yes"
"kindergarten",2,"May",25,99,36,98,99,"TAG",2017-06-01,"Anderson","NEST, Lower Lab, TAG",NA,"Yes"
"kindergarten",22,"April",25,98,38,99,99,"Brooklyn School of Inquiry",2017-06-01,"none","none",NA,"Yes"
"kindergarten",3,"January",23,93,38,99,97,"163",2017-06-01,"539","334, 166, 77, 11, 163, 12",NA,"Unsure"
"second",2,"October",28,99,NA,99,99,"None",2017-06-01,"Anderson","none",NA,"Yes"
"kindergarten",2,"July",NA,83,NA,99,95,"none",2017-06-01,"LL","PS11, PS33",NA,""
"kindergarten",14,"May",26,99,44,99,99,"NEST",2017-06-01,"NEST","none",NA,"Yes"
"second",3,"April",29,99,44,99,99,"PS 163",2017-06-01,"Anderson","Nest, Tag, BSI, Q300, PS166, PS163",NA,"Unsure"
"first",3,"December",27,99,43,99,99,"Q300",2017-06-01,"none","none",NA,"Yes"
